183,ERAA,Erajaya Swasembada Tbk,14-Des-2011
184,ERTX,Eratex Djaja Tbk,21-Agust-1990
185,ESSA,Surya Esa Perkasa Tbk,1-Feb-12
186,ESTI,Ever Shine Textile Industry Tbk,13-Okt-1992
187,ETWA,Eterindo Wahanatama Tbk,16-Mei-1997
188,EXCL,XL Axiata Tbk,29-Sep-05
189,FAST,Fast Food Indonesia Tbk,11-Mei-1993
190,FASW,Fajar Surya Wisesa Tbk,01-Des-1994
191,FISH,FKS Multi Agro Tbk,18-Jan-02
192,FMII,Fortune Mate Indonesia Tbk,30-Jun-00
193,FORU,Fortune Indonesia Tbk,17-Jan-04
194,FPNI,PT Lotte Chemical Titan Tbk.,21-Mar-02
195,FREN,Smartfren Telecom Tbk,29-Nop-2006
196,GAMA,Gading Development Tbk,11-Jul-12
197,GDST,Gunawan Dianjaya Steel Tbk,23-Des-2009
198,GDYR,Goodyear Indonesia Tbk,01-Des-1980
199,GEMA,Gema Grahasarana Tbk,12-Agust-2002
200,GEMS,Golden Energy Mines Tbk,17-Nop-2011
201,GGRM,Gudang Garam Tbk,27-Agust-1990
202,GIAA,Garuda Indonesia (Persero) Tbk,11-Feb-11
203,GJTL,Gajah Tunggal Tbk,08-Mei-1990
204,GLOB,Global Teleshop Tbk,10-Jul-12
205,GMCW,Grahamas Citrawisata Tbk,14-Feb-95
206,GMTD,Gowa Makassar Tourism Development Tbk,11-Des-2000
207,GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.,7-Jul-10
208,GOLL,PT Golden Plantation Tbk,23-Des-2014
209,GPRA,Perdana Gapura Prima Tbk,10-Okt-2007
210,GREN,Evergreen Invesco Tbk,9-Jul-10
211,GSMF,Equity Development Investment Tbk,13-Okt-1989
212,GTBO,Garda Tujuh Buana Tbk,9-Jul-09
213,GWSA,Greenwood Sejahtera Tbk,23-Des-2011
214,GZCO,Gozco Plantations Tbk,15-Mei-2008
215,HADE,HD Capital Tbk,12-Apr-04
216,HDFA,Radana Bhaskara Finance Tbk,10-Mei-2011
217,HDTX,Panasia Indo Resources Tbk,6-Jun-90
218,HERO,Hero Supermarket Tbk,02-Des-1989
219,HEXA,Hexindo Adiperkasa Tbk,13-Feb-95
220,HITS,Humpuss Intermoda Transportasi Tbk,15-Des-1997
221,HMSP,HM Sampoerna Tbk,15-Agust-1990
222,HOME,Hotel Mandarine Regency Tbk,17-Jul-08
223,HOTL,Saraswati Griya Lestari Tbk,10-Jan-13
224,HRUM,Harum Energy Tbk,06-Okt-2010
225,IATA,PT Indonesia Transport & Infrastructure Tbk.,13-Sep-06
226,IBFN,PT Intan Baruprana Finance Tbk,22-Des-2014
227,IBST,Inti Bangun Sejahtera Tbk,31-Agust-2012
228,ICBP,Indofood CBP Sukses Makmur Tbk,07-Okt-2010
229,ICON,Island Concepts Indonesia Tbk,8-Jul-05
230,IDPR,PT Indonesia Pondasi Raya Tbk.,10-Des-2015
231,IGAR,Champion Pacific Indonesia Tbk,05-Nop-1990
232,IIKP,Inti Kapuas Arowana Tbk,20-Okt-2002
233,IKAI,Intikeramik Alamasri Industri Tbk,4-Jun-97
234,IKBI,Sumi Indo Kabel Tbk,21-Jan-91
235,IMAS,Indomobil Sukses Internasional Tbk,15-Sep-93
236,IMJS,PT Indomobil Multi Jasa Tbk.,10-Des-2013
237,IMPC,PT Impack Pratama Industri Tbk,17-Des-2014
238,INAF,Indofarma Tbk,17-Apr-01
239,INAI,Indal Aluminium Industry Tbk,05-Des-1994
240,INCF,PT Indo Komoditi Korpora Tbk,6-Sep-16
241,INCI,Intanwijaya Internasional Tbk,24-Jul-90
242,INCO,Vale Indonesia Tbk,16-Mei-1990
243,INDF,Indofood Sukses Makmur Tbk,14-Jul-94
244,INDR,Indorama Synthetics Tbk,03-Agust-1990
245,INDS,Indospring Tbk,10-Agust-1990
246,INDX,Tanah Laut Tbk,17-Mei-2001
247,INDY,Indika Energy Tbk,11-Jun-08
248,INKP,Indah Kiat Pulp & Paper Tbk,16-Jul-90
249,INPC,Bank Artha Graha Internasional Tbk,29-Agust-1990
250,INPP,Indonesian Paradise Property Tbk,01-Des-2004
251,INRU,Toba Pulp Lestari Tbk,18-Jun-90
252,INTA,Intraco Penta Tbk,23-Agust-1993
253,INTD,Inter-Delta Tbk,18-Des-1989
254,INTP,Indocement Tunggal Prakarsa Tbk,05-Des-1989
255,INVS,Inovisi Infracom Tbk,3-Jul-09
256,IPOL,Indopoly Swakarsa Industry Tbk,9-Jul-10
257,ISAT,Indosat Tbk,19-Okt-1994
258,ISSP,PT Steel Pipe Industry of Indonesia Tbk,22-Feb-13
259,ITMA,SUMBER ENERGI ANDALAN Tbk,10-Des-1990
260,ITMG,Indo Tambangraya Megah Tbk,18-Des-2007
261,ITTG,Leo Investments Tbk,26-Nop-2001
262,JAWA,Jaya Agra Wattie Tbk,30-Mei-2011
263,JECC,Jembo Cable Company Tbk,18-Nop-1992
264,JGLE,PT Graha Andrasentra Propertindo Tbk.,29-Jun-16
265,JIHD,Jakarta International Hotels & Development Tbk,29-Feb-84
266,JKON,Jaya Konstruksi Manggala Pratama Tbk,04-Des-2007
267,JKSW,Jakarta Kyoei Steel Works Tbk,06-Agust-1997
268,JPFA,JAPFA Comfeed Indonesia Tbk,23-Okt-1989
269,JPRS,Jaya Pari Steel Tbk,08-Agust-1989
270,JRPT,Jaya Real Property Tbk,29-Jun-94
271,JSMR,Jasa Marga Tbk,12-Nop-2007
272,JSPT,Jakarta Setiabudi Internasional Tbk,12-Jan-98
273,JTPE,Jasuindo Tiga Perkasa Tbk,16-Apr-02
274,KAEF,Kimia Farma (Persero) Tbk,4-Jul-01
275,KARW,ICTSI JASA PRIMA Tbk,20-Des-2008
276,KBLI,KMI Wire and Cable Tbk,6-Jul-92
277,KBLM,Kabelindo Murni Tbk,1-Jun-92
278,KBLV,First Media Tbk,25-Feb-00
279,KBRI,Kertas Basuki Rachmat Indonesia Tbk,11-Jul-08
280,KDSI,Kedawung Setia Industrial Tbk,29-Jul-96
281,KIAS,Keramika Indonesia Assosiasi Tbk,08-Des-1994
282,KICI,Kedaung Indah Can Tbk,28-Okt-1993
283,KIJA,Kawasan Industri Jababeka Tbk,10-Jan-95
284,KINO,PT Kino Indonesia Tbk,11-Des-2015
285,KKGI,Resource Alam Indonesia Tbk,1-Jul-91
286,KLBF,Kalbe Farma Tbk,30-Jul-91
287,KOBX,Kobexindo Tractors Tbk,5-Jul-12
288,KOIN,Kokoh Inti Arebama Tbk,9-Apr-08
